id	title
1292	The Blue Lagoon
1293	The Detour
1294	Cornered
1296	The Unwritten Chapter
1297	East Is West
1298	Little Simplicity
1299	Keep Her Smiling
1300	Rock-a-bye Baby
1301	Fancy Free
1302	Why Marry?
1303	The Very Idea
1304	His Little Widows
1305	Her Soldier Boy
1306	His Majesty Bunker Bean
1307	The Guilty Man
1309	The Cohan Revue of 1916
1310	Hit-the-trail-holiday
1311	Young America
1312	"Hello, Broadway!"
1313	The Miracle Man
1314	The Beauty Shop
1315	Seven Keys to Baldpate
1316	A Man's Friends
1317	Fine Feathers
1318	Hawthorne of the U.S.A.
